,time,m_dot,delta_t,m_air,m_air_leakage,pwr,energy_in,energy_out,work_per_kg,total_work_per_kg,water_per_kg,fuel_per_kg,m_water,m_fuel,p_store,T_store,m_store,p0,p1,p2,p3,T0,T1,T2,T3,dp_pipe_f,dp_pipe_g,dp_well,error_msg,dT_pipe_ocean,dT_pipe_sub,dT_pipe
0,1e-06,0.0,1e-06,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0235,316.02152033,95270042.53048533,0.101325,11.92827266539808,14.0235,14.0235,290.0,290.0,316.02152033,316.02152033,0.0,-2.0952273346019212,0.0,,0.0,0.0,0.0
1,0.1030804361084196,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,240583.39096037197,24799.200277246597,0.0,-410.1200632207271,-418.8702630151128,0.0,0.0,0.0,0.0,14.053775269679981,316.02152033,95475720.58732091,0.101325,13.990240242366545,14.312530782001915,14.0235,290.0,290.0,290.0,316.02152033,1.6711589155662225,-1.993449455201592,0.28903078200191423,,0.0,0.0,0.0
2,0.2061598722168392,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,238407.2803812049,24574.888025836488,0.0,-406.41046961685987,-415.0815226244854,0.0,0.0,0.0,0.0,14.084050539359964,316.02152033,95681398.64415649,0.101325,13.380353571030469,14.270964922153015,14.053775269679981,290.0,290.0,290.0,316.02152033,1.4342715065282416,-2.324882857650788,0.21718965247303323,,0.0,0.0,0.0
3,0.3092393083252588,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239097.7258048926,24646.058750773853,0.0,-407.58746491850104,-416.2836299481172,0.0,0.0,0.0,0.0,14.114325809039945,316.02152033,95887076.70099206,0.101325,13.570924803354893,14.302320725544314,14.084050539359964,290.0,290.0,290.0,316.02152033,1.4963715059319294,-2.22776742812135,0.21827018618435012,,0.0,0.0,0.0
4,0.41231874443367844,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239022.08352787653,24638.26158751308,0.0,-407.45851829708977,-416.1519321599103,0.0,0.0,0.0,0.0,14.144601078719925,316.02152033,96092754.75782764,0.101325,13.54991492710687,14.331779987849602,14.114325809039945,290.0,290.0,290.0,316.02152033,1.4763355321847635,-2.2582005929274955,0.2174541788096569,,0.0,0.0,0.0
5,0.5153981805420981,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239148.19058682237,24651.26063203851,0.0,-407.6734917197397,-416.3714921916226,0.0,0.0,0.0,0.0,14.174876348399907,316.02152033,96298432.81466322,0.101325,13.584959666102744,14.361293584370182,14.144601078719925,290.0,290.0,290.0,316.02152033,1.4785153596821983,-2.254849277949636,0.21669250565025777,,0.0,0.0,0.0
6,0.6184776166505177,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239221.0742967583,24658.773443760198,0.0,-407.79773583986514,-416.4983871473738,0.0,0.0,0.0,0.0,14.205151618079887,316.02152033,96504110.8714988,0.101325,13.605255125395754,14.390810571037859,14.174876348399907,290.0,290.0,290.0,316.02152033,1.4748833334835774,-2.260438779125683,0.21593422263795148,,0.0,0.0,0.0
7,0.7215570527589373,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239307.80703687575,24667.71380570364,0.0,-407.9455882610913,-416.6493941039222,0.0,0.0,0.0,0.0,14.23542688775987,316.02152033,96709788.92833437,0.101325,13.629446549242004,14.420332230528,14.205151618079887,290.0,290.0,290.0,316.02152033,1.4727889235505562,-2.263674604836553,0.2151806124481137,,0.0,0.0,0.0
8,0.824636488867357,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239390.77845039335,24676.266452222153,0.0,-408.0870287870623,-416.7938523629238,0.0,0.0,0.0,0.0,14.26570215743985,316.02152033,96915466.98516995,0.101325,13.652629122924749,14.449858492142468,14.23542688775987,290.0,290.0,290.0,316.02152033,1.4703010440827138,-2.2675304133004333,0.21443160438259845,,0.0,0.0,0.0
9,0.9277159249757766,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239474.60519716135,24684.907266009803,0.0,-408.2299273909387,-416.9397998089476,0.0,0.0,0.0,0.0,14.295977427119832,316.02152033,97121145.04200552,0.101325,13.676090724165093,14.479389320402852,14.26570215743985,290.0,290.0,290.0,316.02152033,1.4679256267540912,-2.27122422299185,0.2136871629630015,,0.0,0.0,0.0
10,1.0307953610841962,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239558.07912000563,24693.511710906347,0.0,-408.3722245394556,-417.08513296713915,0.0,0.0,0.0,0.0,14.326252696799811,316.02152033,97326823.0988411,0.101325,13.699493640041693,14.508924679285485,14.295977427119832,290.0,290.0,290.0,316.02152033,1.46553025320627,-2.274961292450062,0.21294725216565347,,0.0,0.0,0.0
11,1.1338747971926157,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239641.5160443581,24702.112342019223,0.0,-408.5144586170193,-417.2304017087143,0.0,0.0,0.0,0.0,14.356527966479794,316.02152033,97532501.15567668,0.101325,13.722926204051266,14.53846453313279,14.326252696799811,290.0,290.0,290.0,316.02152033,1.4631494805017309,-2.278687809583257,0.2122118363329797,,0.0,0.0,0.0
12,1.2369542333010353,574.3625466,0.1030794361084196,213137.88273116594,7459.825895590809,239724.83370756268,24710.70067976022,0.0,-408.6564893913152,-417.37546280940364,0.0,0.0,0.0,0.0,14.386803236159775,316.02152033,97738179.21251225,0.101325,13.746365269319057,14.568008846626253,14.356527966479794,290.0,290.0,290.0,316.02152033,1.4607742621881135,-2.282417839495309,0.21148088014645872,,0.0,0.0,0.0
